2000
0,492
3,630
2,241
0,364
0,339
0,690
0,511
4,930
6,081
1,941
0,330
6,166
0,295
0,632
0,566
0,468
4,981
0,990
4,559
0,281
1,062
4,417
0,196
0,453
2,706
2,709
1,763
1,473
1,520
0,764
6,055
5,058
0,967
2,747
1,611
0,634
2,575
6,209
4,099
3,338
0,259
4,075
0,723
5,654
3,941
0,980
0,277
5,062
4,138
2,686
7,301
4,633
2,231
3,659
2,925
1,311
1,067
1,087
0,567
0,662
1,308
0,247
0,708
0,119
1,146
2,075
1,403
1,916
8,350
1,241
1,820
5,279
1,528
0,952
5,368
0,294
0,485
0,951
2,696
1,274
2,670
1,470
0,611
0,769
3,546
2,031
5,866
2,034
0,158
0,478
4,332
4,724
2,676
0,997
1,099
1,800
1,835
2,471
4,678
0,084

2200
0,344
3,861
0,214
0,996
3,492
0,776
1,644
1,474
1,410
0,642
0,625
3,706
4,962
1,462
4,043
0,185
2,959
1,867
2,423
0,819
0,414
0,499
0,415
2,255
2,180
2,749
0,539
2,650
0,511
1,209
2,162
0,571
1,393
8,993
2,080
1,635
4,903
0,696
1,087
8,518
0,830
0,777
0,771
0,350
1,230
0,553
1,324
1,344
1,741
1,582
0,408
0,231
0,132
1,728
1,568
0,257
2,512
1,100
0,218
2,175
3,945
4,063
0,311
1,180
1,727
0,599
3,295
0,514
0,703
0,580
2,539
0,571
3,353
0,301
0,668
2,266
1,577
4,682
2,022
1,080
2,138
3,218
3,370
1,723
2,383
1,106
2,020
1,435
0,231
3,098
0,266
0,575
1,927
4,376
0,223
1,297
0,542
3,185
2,076
3,282

2400
1,320
2,658
2,785
0,873
1,700
2,400
5,863
1,422
1,468
9,062
0,188
0,608
1,694
0,930
1,270
3,223
0,753
1,864
4,158
4,902
1,932
2,362
0,231
0,828
3,115
2,453
0,895
0,613
0,142
0,489
1,521
1,847
1,769
1,292
0,561
0,615
0,556
1,378
1,641
4,585
1,295
3,574
0,758
0,917
1,603
0,796
1,867
0,412
1,093
1,200
0,452
3,206
0,647
2,820
4,345
0,484
1,124
0,610
0,384
0,080
0,574
0,671
1,314
1,444
4,494
3,574
5,856
1,260
0,389
1,668
3,330
0,909
2,370
2,118
0,174
0,130
0,859
2,204
2,844
0,185
0,530
2,360
1,502
1,720
1,263
0,735
6,670
0,744
0,958
2,296
2,649
0,568
4,661
0,539
0,626
2,901
0,930
2,098
1,768
9,796

2600
3,040
1,424
1,923
0,714
5,413
4,538
1,724
1,060
1,826
2,648
1,459
0,900
0,681
2,927
2,532
1,740
0,707
0,635
0,902
1,828
4,538
1,696
1,359
3,679
1,112
5,073
2,636
2,494
4,237
2,603
2,673
3,666
0,874
1,309
0,234
0,605
0,109
3,581
0,613
1,355
0,790
0,781
0,799
3,038
0,643
0,791
0,892
0,307
0,158
1,722
5,758
0,137
2,597
1,005
0,539
0,732
0,530
0,187
1,880
1,824
4,893
0,501
1,613
2,550
0,270
0,398
1,313
0,275
3,780
0,213
2,377
3,345
2,548
2,248
2,399
0,553
0,121
1,933
0,300
0,679
0,178
1,060
1,195
0,564
0,730
2,451
0,510
1,745
0,839
1,010
2,554
1,363
1,186
1,911
0,100
0,282
4,691
0,748
1,592
0,288

2800
